DATE,PATH,TARGET,PC1,PC2,EYF3,EYF6,EYF9,EYF12,JGBF,flag_30min
2000/4/1,0.010496435,-0.003531128,0.247870916,-0.707748183,-0.007333333,0.003166667,0.002333333,0.009333333,0.006891683,1
2000/5/1,0.007125714,-0.003021145,0.189995907,-0.515142403,0.000806452,-0.006774194,0.004032258,0.00483871,-0.009908443,1
2000/6/1,0.001850064,-0.003754116,0.021942572,-0.224315596,-0.006833333,0.0005,-0.004666667,-0.0005,-0.023198512,1
2000/7/1,-0.003390426,-0.00465022,-0.054108266,0.006823876,-0.008225806,-0.000483871,-0.012903226,-0.004516129,-0.012689523,1
2000/8/1,-0.000638984,0.010816788,0.537363113,0.107540993,0.007580645,0.014354839,0.020322581,0,0.004617268,1
2000/9/1,-0.006508921,0.009858546,0.36221029,0.419291364,0.007833333,0.011166667,0.01,-0.002833333,0.004993758,1
2000/10/1,-0.005649138,-0.000450632,5.30E-05,0.220880705,-0.000806452,-0.001129032,-0.003387097,-0.008387097,0.000661545,1
2000/11/1,0.002064084,-0.004145619,0.074410154,-0.27716226,-0.001833333,-0.006666667,-0.0045,0.000666667,-0.015360821,1
2000/12/1,0.001822954,0.006157751,0.492999622,-0.137044926,0.007580645,0.00483871,0.008225806,0.008225806,0.013699419,1
2001/1/1,0.002085697,0.001136081,0.174861661,-0.146452601,0.002258065,0,0.004516129,0.002258065,0.00890854,1
2001/2/1,0.00444069,-0.004078362,0.069741523,-0.371814767,-0.008928571,0.002678571,-0.000714286,-0.000535714,-0.002126443,1
2001/3/1,0.026797664,-0.040387188,-0.903671585,-2.053588945,-0.051935484,-0.022419355,-0.019354839,-0.014516129,-0.040031086,1
2001/4/1,0.001224403,-0.001391936,0.116920404,-0.167697479,0,-0.003,0,0,-0.018455838,1
2001/5/1,-0.000469325,-0.000840591,0.13721194,-0.08847762,0,-0.002096774,0,-0.002258065,-6.20E-05,1
2001/6/1,-0.003519564,0.001768788,0.132829554,0.135274437,0.002666667,0,0,-0.002833333,-0.001378014,1
2001/7/1,-0.001684679,0.001454175,0.238998414,-0.013404077,0.002419355,0,0,0,-0.009705018,1
2001/8/1,0.002894724,-0.007246791,-0.127151765,-0.308115372,-0.005806452,-0.008709677,-0.005806452,-0.002903226,-0.010649697,1
2001/9/1,0.003751843,-0.005663631,-0.060597635,-0.325375218,-0.0065,-0.004333333,0,-0.004333333,0.006187695,1
2001/10/1,0.0018481,0.000163624,0.18067915,-0.174558791,-0.002419355,0.003387097,0.006290323,-0.002903226,0.020357234,1
2001/11/1,-0.003300616,0.006624354,0.397157042,0.149170455,0.005,0.008166667,0.005666667,0.001,0.007241048,1
2001/12/1,0.004440774,0.012544793,0.769055066,-0.175728777,0.006774194,0.020806452,0.018225806,0.014032258,0.037878355,1
2002/1/1,-0.00139189,0.004324804,0.260162832,0.064879368,0.002903226,0.005806452,0.005806452,0,0.007889438,1
2002/2/1,-0.004920599,0.00618452,0.292572269,0.26096093,0.0075,0.00375,0.00375,-0.000178571,-0.013051414,1
2002/3/1,-0.004910795,0.00293894,0.204034217,0.194936455,0.003225806,0.001612903,0.001612903,-0.00483871,-0.011117525,1
